125202.98,3.6,-5.6
125202.424,3.4,-5.6
125202.751,3.4,-6.0
125203.78,3.4,-6.0
125203.403,3.6,-6.0
125203.731,3.8,-6.0
125204.57,4.0,-6.0
125204.383,4.0,-6.0
125204.709,4.0,-6.2
125205.36,4.0,-6.2
125205.363,4.0,-6.4
125205.688,4.0,-6.4
125206.14,4.0,-6.2
125206.342,4.0,-6.2
125206.668,3.8,-6.0
125206.994,3.8,-6.0
125207.321,3.6,-6.4
125207.647,3.6,-6.4
125229.894,3.6,-6.2
125230.220,3.6,-6.2
125230.547,3.6,-6.6
125230.874,3.6,-6.6
125231.199,3.6,-6.8
125231.525,3.6,-7.0
125231.853,3.6,-7.0
125232.179,3.6,-7.2
125232.505,3.4,-7.2
125232.832,3.2,-7.2
125233.158,3.2,-7.0
125233.484,3.0,-6.8
125233.811,3.0,-6.8
125234.138,3.0,-6.8
125234.463,3.0,-6.8
125234.789,3.2,-6.8
125235.117,3.2,-6.8
125235.443,3.2,-7.0
125235.770,3.2,-7.2
125236.96,3.0,-7.2
125236.422,3.0,-7.2
125236.748,3.0,-7.4
125237.75,3.0,-7.4
125237.402,3.0,-7.4
125237.727,3.0,-7.2
125238.55,2.6,-7.2
125238.381,2.4,-7.2
125238.706,2.4,-7.0
125239.34,2.4,-7.0
125239.360,2.4,-7.0
125239.686,2.6,-7.0
125240.12,2.6,-7.0
125240.339,2.8,-7.0
125240.665,3.0,-7.0
125240.991,3.2,-7.0
125241.319,3.2,-7.2
125241.645,3.2,-7.2
125241.970,3.2,-7.2
125242.298,3.2,-7.0
125242.624,3.2,-7.0
125242.950,3.2,-6.8
125243.277,3.2,-6.6
125243.603,3.2,-6.6
125243.929,3.2,-6.6
125244.256,3.2,-6.6
125244.583,3.2,-6.8
125244.908,3.2,-6.8
125245.234,3.2,-6.8
125245.562,3.2,-6.8
125245.888,3.2,-7.2
125246.214,3.0,-7.2
125246.541,3.0,-7.4
125246.867,3.0,-7.4
125247.193,3.0,-7.2
125247.519,3.0,-7.2
125247.847,3.0,-7.2
125248.173,3.0,-7.0
125248.498,3.2,-7.0
125248.826,3.4,-7.4
125249.152,3.4,-7.4
125249.478,3.2,-7.4
125249.805,3.0,-7.6
125250.131,3.0,-7.8
125250.457,3.0,-7.8
125250.784,3.0,-7.8
125251.111,2.8,-7.8
125251.436,3.0,-7.6
125251.764,2.8,-7.4
125252.90,2.8,-7.4
125252.415,2.6,-7.4
125252.743,2.6,-7.4
125253.69,2.6,-7.4
125253.395,2.6,-7.6
